,train,val,test
39,152 T3,285 N1,C 17.12297 2A2 he_054238
40,152 T2,215 T1,C 17.12297 2A1 he_053610
41,152 N1,215 N1,289 N1
42,152 T1,304 T1,289 T1
43,152 N2,82 17.1547 1.1,222 T1
44,158 T1,82 17.1547 1.2,222 N1
45,158 N1,82 17.1547 1.4,242 T1
46,159 N1,82 17.1547 1.3,242 N1
47,159 T5,82 17.1547 2.2,81 1151 f
48,159 T1,82 17.1547 2.1,81 1151 e
49,159 T4,82 17.1547 2.4,81 1151 b
50,159 N2,82 17.1547 2.3,154 T3
51,159 T3,269 N1,154 T2
52,159 T2,269 T1,154 T1
53,160 T3,190 T1,154 N1
54,160 N1,190 N1,154 N2
55,160 T2,254 T1,164 N1
56,160 T1,254 N1,164 T3
57,161 N1,11 15.3990 2.1,164 N2
58,161 T5,11 15.3990 1.1 H.L. TMA,164 T1
59,161 T2,11 15.3990 2.2,164 T2
60,161 N5,11 15.3990 1.2,164 N3
61,161 N2,C 16.17171 2A he_094746,250 N1
62,161 T3,,250 T1
63,161 T4,,295 N1
64,161 N3,,245 N1
65,161 T1,,245 T1
66,161 N6,,
67,161 N7,,
68,161 N4,,
69,165 T1,,
70,165 N1,,
71,167 T5,,
72,167 T2,,
73,167 T3,,
74,167 N1,,
75,167 T1,,
76,167 N3,,
77,167 T4,,
78,167 N2,,
79,171 T1,,
80,171 N1,,
81,171 N2,,
82,171 T2,,
83,172 N1,,
84,172 T1,,
85,173 T1,,
86,173 N1,,
87,173 T2,,
88,178 N1,,
89,178 T1,,
90,180 N1,,
91,180 T1,,
92,180 N2,,
93,180 T2,,
94,181 T1,,
95,181 N1,,
96,198 T1,,
97,198 N1,,
98,199 N1,,
99,199 T1,,
100,200 T1,,
101,200 N1,,
102,203 T1,,
103,203 N1,,
104,206 T1,,
105,206 N1,,
106,212 N1,,
107,212 T1,,
108,213 T1,,
109,213 N1,,
110,218 N1,,
111,218 T1,,
112,218 N2,,
113,218 T2,,
114,21 H 15.10971 1.2,,
115,21 H 15.10971 1.1,,
116,21 15.10971 2.1,,
117,21 15.10971 2.2,,
118,224 T1,,
119,224 N1,,
120,225 T1,,
121,225 N1,,
122,228 T1,,
123,228 N1,,
124,22 15.11592 2.2,,
125,22 15.11592 2.1,,
126,22 15.11592 1.1,,
127,22 15.11592 1.2,,
128,230 T2,,
129,230 T1,,
130,232 T1,,
131,232 N1,,
132,236 T1,,
133,238 T1,,
134,238 N1,,
135,239 T1,,
136,241 T1,,
137,244 T1,,
138,244 N1,,
139,247 T1,,
140,247 N1,,
141,248 T2,,
142,248 N1,,
143,24 15.6839 1.1,,
144,24 15.6839 2.1,,
145,253 T1,,
146,253 N1,,
147,256 N1,,
148,256 T1,,
149,261 N1,,
150,261 T1,,
151,265 T1,,
152,265 N1,,
153,266 T1,,
154,266 N1,,
155,270 T1,,
156,270 N1,,
157,280 N1,,
158,283 N1,,
159,283 T1,,
160,284 N1,,
161,287 N1,,
162,287 T1,,
163,288 T1,,
164,288 N1,,
165,290 N1,,
166,290 T1,,
167,293 N1,,
168,293 T1,,
169,307 T1,,
170,30 H 16.444 1-15,,
171,30 H 16.444 2.1,,
172,30 H 16.444 2.2,,
173,313 N1,,
174,316 N1,,
175,317 N1,,
176,318 N1,,
177,318 T1,,
178,325 N1,,
179,328 N1,,
180,328 T1,,
181,334 T1,,
182,334 N1,,
183,335 T1,,
184,335 N1,,
185,34 15.15571 1.1,,
186,34 15.15571 1.2,,
187,34 15.15571 2.1,,
188,34 15.15571 2.2,,
189,35 15.16251 2.1,,
190,35 15.16251 2.2,,
191,35 15.16251 1.2,,
192,35 15.16251 1.1,,
193,38 17.2365 normal,,
194,38 17.2365 TM,,
195,43 14.12458 Ib1b,,
196,43 14.12458 Ib3,,
197,45 14.13033 b6,,
198,45 14.13033 b4,,
199,48 14.15849 8C,,
200,48 14.15849 norm,,
201,4 15.5542 1.1,,
202,4 15.5542 1.3,,
203,4 15.5542 1.2,,
204,4 15.5542 2.1,,
205,50 15.2676 TM1,,
206,50 15.2676 TM2,,
207,50 15.2676 normal,,
208,58 15.13810 T1.2,,
209,58 15.13810 T1.1,,
210,58 15.13810 N2.2,,
211,58 15.13810 N2.1,,
212,59 15.8220 a,,
213,59 15.8220 1 5a,,
214,61 15.8862 7B,,
215,61 15.8862 normal,,
216,64 15.12238 normal,,
217,64 15.12238 Tumor,,
218,73 16.474 7C,,
219,73 16.474 5d,,
220,75 16.2709 f11,,
221,75 16.2709 TM,,
222,75 16.2709 normal,,
223,78 16.7399 3d,,
224,78 16.7399 1a,,
225,83 15.8623 2.1,,
226,83 15.8623 1.3,,
227,83 15.8623 1.4,,
228,83 15.8623 1.5,,
229,83 15.8623 1.1,,
230,83 15.8623 1.2,,
231,83 15.8623 2.2,,
232,84 H 16.5194 1.1,,
233,84 H 16.5194 2.1 PA,,
234,89 H 15.5476 1.1,,
235,89 H 15.5476 2.1,,
236,8 H 16.5165 2.2,,
237,8 H 16.5165 1.1,,
238,8 H 16.5165 2.4,,
239,8 H 16.5165 1.2,,
240,91 H 15.5457 1.2,,
241,91 H 15.5457 1.1,,
242,97 16.13893 1.1,,
243,97 16.13893 2.1,,
244,98 15.25148 1.1,,
245,98 15.25148 2.2,,
246,98 15.25148 2.1,,
247,C 16.10821 2E he_100729,,
248,C 16.10821 2B he_101102,,
249,C 18.13124 2H he_215147,,
250,C 18.13124 2E he_214841,,
251,C 18.13124 2C he_215544,,
252,C 16.15924 2A he_095048,,
253,C 14.16487 4A pas_103855,,
254,C 17.17358 2G he_112637,,
255,C 17.17360 2E he_045047,,
256,C 17.17360 3C he_050600,,
257,C 17.17360 2A he_045849,,
258,C 17.17360 3B he_050214,,
259,C 17.17360 2F he_045426,,
260,C 18.17537 2H he_213456,,
261,C 18.17537 3C he_213835,,
262,C 18.17537 3A he_214105,,
263,C 18.17537 2A he_213141,,
264,C 18.17537 2I he_214527,,
265,C 13.22089 4A he_105839,,
266,C 18.23144 2C he_210452,,
267,C 18.23144 2B he_210104,,
268,C 17.2628 4A he_065112,,
269,C 17.2882 5B he_064727,,
270,C 17.2882 5D he_064324,,
271,C 17.32211 3F he_034105,,
272,C 17.32211 2B he_032431,,
273,C 17.32211 2I he_032953,,
274,C 17.32211 2M he_033431,,
275,C 17.32211 2E he_033805,,
276,C 17.32211 2H he_034352,,
277,C 17.32587 2I he_032106,,
278,C 17.32587 2J he_031653,,
279,C 17.32587 2F he_031348,,
280,C 17.32587 2C he_024858,,
281,C 17.32587 2A he_025601,,
282,C 17.32587 2K he_025245,,
283,C 17.32587 2B he_030634,,
284,C 17.32587 3C he_025926,,
285,C 17.32587 2H he_031002,,
286,C 17.32587 2C pas_030254,,
287,C 16.33050 2G he_090110,,
288,C 17.37698 3A he_013720,,
289,C 17.37698 2G he_012119,,
290,C 17.37698 3E he_012914,,
291,C 17.37698 2D he_011739,,
292,C 17.37698 2F he_012520,,
293,C 17.37698 3B he_013246,,
294,C 17.37698 2E he_014044,,
295,C 16.38030 2E he_082649,,
296,C 16.38030 1J he_082348,,
297,C 16.38030 1H he_083040,,
298,C 16.38030 1I he_082007,,
299,C 16.38030 2D he_083418,,
300,C 18.3904 2A he_224556,,
301,C 18.3904 2B he_224256,,
302,C 16.44640 2C he_075817,,
303,C 16.44640 2B he_080154,,
304,C 18.4526 2D he_223258,,
305,C 18.4526 2F he_223920,,
306,C 16.45680 2C he_070257,,
307,C 17.45812 2D he_001907,,
308,C 17.45812 2A he_001534,,
309,C 17.50389 2D,,
310,C 17.50389 2C,,
311,C 17.50389 2B,,
312,C 17.50389 2E,,
313,C 17.51196 2D he_234255,,
314,C 17.51196 2A he_233117,,
315,C 17.51196 2G he_233951,,
316,C 17.51196 2B he_233455,,
317,C 17.51196 2C he_232757,,
318,C 17.51196 3D he_233659,,
319,C 17.6716 2E he_063624,,
320,C 17.6716 2J he_063312,,
321,C 17.6716 2F he_062945,,
322,C 17.6716 2G he_063928,,
323,C 17.6716 2H he_062545,,
324,C 16.7946 2F he_101451,,
325,C 16.7946 2B he_101806,,
326,C 17.8037 5A he_061238,,
327,C 17.8037 1B he_061008,,
328,C 18.8618 3B he_220740,,
329,C 18.8618 3F,,
330,C 18.8618 3K he_220118,,
331,C 18.8618 2H he_215853,,
332,C 18.8618 2E he_220415,,
333,C 18.8618 3H he_221442,,
334,C 17.9203 2B1 he_054951,,
335,C 17.9203 2E he_054634,,
336,100 15.2600 1.1,,
337,100 15.2600 2.1,,
338,100 15.2600 2.2,,
339,105 17.12464 2.1,,
340,105 17.12464 1.1,,
341,109 15.28188 2.1,,
342,109 15.28188 1.1,,
343,109 15.28188 2.2,,
344,115 28928 8T,,
345,115 28928 8V,,
346,119 17.16488 3,,
347,119 17.16488 2,,
348,119 17.16488 1,,
349,125 H 17.2982 2.2,,
350,125 H 17.2982 1.1,,
351,125 H 17.2982 2.1,,
352,125 H 17.2982 1.2,,
353,126 15.7307 J,,
354,130 16.4990 L,,
355,130 16.4990 A,,
356,133 15.161 G,,
357,133 15.161 A,,
358,137 N1,,
359,137 T2,,
360,137 T1,,
361,142 T1,,
362,142 N1,,
363,142 T2,,
364,142 T4,,
365,142 N3,,
366,142 N2,,
367,142 T3,,
368,143 N1,,
369,143 T2,,
370,143 T1,,
371,143 N2,,
372,149 N2,,
373,149 N1,,
374,149 T1,,
375,149 T2,,
376,150 N1,,
377,150 T1,,
378,162 N1,,
379,162 N4,,
380,162 N3,,
381,162 T3,,
382,162 N2,,
383,162 T6,,
384,162 T2,,
385,162 T5,,
386,162 T1,,
387,162 T4,,
388,175 T2,,
389,175 T1,,
390,175 N1,,
391,175 N2,,
392,175 T3,,
393,176 T1,,
394,176 N1,,
395,18 15.8273 1.2,,
396,18 15.8273 2.1,,
397,18 15.8273 2.2,,
398,18 15.8273 1.1,,
399,192 T1,,
400,193 N1,,
401,193 T3,,
402,193 N2,,
403,193 T1,,
404,193 T2,,
405,196 T1,,
406,196 N1,,
407,204 N1,,
408,204 T1,,
409,207 N1,,
410,207 T1,,
411,209 T2,,
412,209 N1,,
413,209 T1,,
414,209 N2,,
415,210 T1,,
416,210 N2,,
417,221 N1,,
418,221 T1,,
419,227 N1,,
420,227 T1,,
421,234 N1,,
422,234 T1,,
423,23 15.1107 i,,
424,23 15.1107 g,,
425,262 N1,,
426,263 N1,,
427,267 N1,,
428,26 16.7705 TK,,
429,26 16.7705 Tg,,
430,272 T1,,
431,272 N1,,
432,275 T1,,
433,296 T1,,
434,296 N1,,
435,302 T2,,
436,302 T1,,
437,310 T1,,
438,311 T1,,
439,314 N1,,
440,315 T1,,
441,315 N1,,
442,319 A,,
443,320 N1,,
444,320 T1,,
445,322 N1,,
446,327 T1,,
447,327 N1,,
448,329 N1,,
449,329 T1,,
450,32 17.322 f6a,,
451,32 17.322 TM,,
452,337 N1,,
453,33 16.928 1e 4d,,
454,33 16.928 1e 2a,,
455,39 15.33 1e 9d,,
456,39 15.33 1e 7b,,
457,41 15.1241 TM,,
458,41 15.1241 norm,,
459,42 14.10866 K6,,
460,42 14.10866 m1,,
461,52 15.4166 normal,,
462,52 15.4166 5a,,
463,68 15.9478 3b,,
464,68 15.9478 8,,
465,6 15.4595 2.1,,
466,6 15.4595 1.1,,
467,6 15.4595 2.2,,
468,6 15.4595 1.2,,
469,72 16.6464 49,,
470,72 16.6464 f9,,
471,87 H 15.893 1.1,,
472,87 H 15.893 2.1,,
473,88 H 16.6190 1.1,,
474,88 H 16.6190 2.1,,
475,92 H 15.3793 1.1,,
476,92 H 15.3793 2.1,,
477,95 H 15.3141 1.1,,
478,96 H 15.3068 1.1,,
479,9 16.6833 2.1,,
480,9 16.6833 1.1,,
481,C 16.11091 2B he_100310,,
482,C 16.11238 2D he_095424,,
483,C 16.11238 2E he_095904,,
484,C 16.125 2B he_103547,,
485,C 16.125 2C he_103212,,
486,C 17.13061 3C he_052922,,
487,C 17.13061 3A he_053237,,
488,C 14.13484 8B he_104219,,
489,C 17.14901 2B he_052114,,
490,C 17.14901 2A he_052517,,
491,C 18.18787 3A he_212718,,
492,C 18.18787 2A he_211956,,
493,C 18.18787 2F he_211329,,
494,C 18.18787 2B he_211645,,
495,C 18.18787 2D he_212354,,
496,C 18.18787 2C he_210917,,
497,C 13.20346 4C he_110159,,
498,C 13.22838 7E he_105439,,
499,C 13.25902 5E he_105107,,
500,C 16.33596 4G he_085029,,
501,C 17.36134 2B he_015448,,
502,C 17.36134 2C he_015157,,
503,C 17.36134 2E he_015844,,
504,C 17.36134 2D he_020230,,
505,C 17.38328 3C he_010758,,
506,C 17.38328 2B he_011411,,
507,C 17.38328 3D he_011103,,
508,C 17.38328 2A he_010501,,
509,C 17.38328 2C he_010131,,
510,C 18.44036 2C he_205651,,
511,C 18.44036 2E he_205313,,
512,C 18.44036 2B he_204936,,
513,C 17.6967 2A he_062203,,
514,C 17.6967 3A he_061934,,
515,C 17.6967 2E he_061553,,
